id,name,balance
352,352,1040
353,353,990
354,354,1014
355,355,1022
356,356,989
357,357,973
358,358,977
359,359,1011
360,360,1034
361,361,1030
362,362,974
363,363,1008
364,364,1015
365,365,1023
366,366,929
367,367,1037
368,368,990
369,369,985
370,370,968
371,371,1039
372,372,945
373,373,997
374,374,1001
375,375,1011
376,376,1024
377,377,985
378,378,982
379,379,973
380,380,981
381,381,997
382,382,937
383,383,973
384,384,1046
385,385,991
386,386,984
387,387,965
388,388,979
389,389,982
390,390,978
391,391,992
392,392,949
393,393,1009
394,394,1005
395,395,996
396,396,968
397,397,1045
398,398,975
399,399,991
400,400,1006
401,401,981
402,402,966
403,403,1003
404,404,1045
405,405,967
406,406,953
407,407,969
408,408,973
409,409,998
410,410,1038
411,411,1068
412,412,959
413,413,1029
414,414,1019
415,415,1042
416,416,1034
417,417,1012
418,418,966
419,419,1047
420,420,994
421,421,1025
422,422,995
423,423,1028
424,424,1005
425,425,1017
426,426,984
427,427,1054
428,428,995
429,429,956
430,430,997
431,431,925
432,432,1060
433,433,976
434,434,1029
435,435,1031
436,436,936
437,437,928
438,438,1026
439,439,1034
440,440,995
441,441,1006
442,442,1014
443,443,974
444,444,1033
445,445,956
446,446,970
447,447,1001
448,448,990
449,449,1050
450,450,1008
451,451,946
452,452,989
453,453,1000
454,454,1040
455,455,957
456,456,1015
457,457,984
458,458,1026
459,459,963
460,460,1014
461,461,977
462,462,988
463,463,1024
464,464,974
465,465,988
466,466,994
467,467,974
468,468,1002
469,469,1009
470,470,1012
471,471,987
472,472,974
473,473,1020
474,474,928
475,475,989
476,476,959
477,477,955
478,478,995
479,479,1014
480,480,956
481,481,1020
482,482,1027
483,483,1000
484,484,994
485,485,1030
486,486,959
487,487,1031
488,488,935
489,489,949
490,490,968
491,491,1012
492,492,935
493,493,1031
494,494,965
495,495,1045
496,496,1018
497,497,963
498,498,976
499,499,988
500,500,1027
501,501,969
502,502,997
503,503,1001
504,504,965
505,505,980
506,506,1051
507,507,1025
508,508,982
509,509,1025
510,510,1004
511,511,992
512,512,1006
513,513,1045
514,514,1016
515,515,1006
516,516,967
517,517,989
518,518,1043
519,519,1019
520,520,1032
521,521,996
522,522,1013
523,523,994
524,524,1000
525,525,1004
526,526,1002
527,527,1022
528,528,986
529,529,1060
530,530,1010
531,531,1021
532,532,974
533,533,1022
534,534,938
535,535,989
536,536,1032
537,537,1031
538,538,1055
539,539,990
540,540,986
541,541,957
542,542,950
543,543,1003
544,544,1006
545,545,1016
546,546,979
547,547,990
548,548,1031
549,549,966
550,550,980
551,551,1054
552,552,1003
553,553,994
554,554,1063
555,555,917
556,556,1036
557,557,1010
558,558,992
559,559,1008
560,560,1033
561,561,982
562,562,1007
563,563,980
564,564,993
565,565,954
566,566,965
567,567,1036
568,568,1048
569,569,1026
570,570,1028
571,571,1015
572,572,1027
573,573,1011
574,574,1019
575,575,994
576,576,954
577,577,1009
578,578,1048
579,579,1010
580,580,990
581,581,1012
582,582,963
583,583,957
584,584,1043
585,585,964
586,586,1001
587,587,1010
588,588,1021
589,589,1005
590,590,1002
591,591,938
592,592,1062
593,593,1006
594,594,984
595,595,1006
596,596,1006
597,597,962
598,598,1023
599,599,1034
600,600,970
601,601,979
602,602,1059
603,603,1019
604,604,1029
605,605,948
606,606,1019
607,607,1002
608,608,1021
609,609,987
610,610,982
611,611,995
612,612,1031
613,613,1047
614,614,1009
615,615,977
616,616,1017
617,617,1015
618,618,964
619,619,1083
620,620,1040
621,621,953
622,622,995
623,623,1013
624,624,1027
625,625,1008
626,626,1033
627,627,1012
628,628,1015
629,629,1036
630,630,1010
631,631,960
632,632,1008
633,633,1003
634,634,978
635,635,959
636,636,1003
637,637,990
638,638,965
639,639,990
640,640,1004
641,641,985
642,642,1022
643,643,930
644,644,1011
645,645,1027
646,646,981
647,647,1005
648,648,965
649,649,972
650,650,1018
651,651,992
652,652,1039
653,653,999
654,654,989
655,655,985
656,656,983
657,657,1015
658,658,1022
659,659,1006
660,660,1029
661,661,1011
662,662,1003
663,663,991
664,664,1015
665,665,983
666,666,977
667,667,1032
668,668,930
669,669,990
670,670,995
671,671,1014
672,672,946
673,673,1027
674,674,1037
675,675,1002
676,676,1002
677,677,995
678,678,999
679,679,990
680,680,1033
681,681,1045
682,682,1047
683,683,993
684,684,1005
685,685,1049
686,686,1012
687,687,940
688,688,1015
689,689,1001
690,690,1029
691,691,983
692,692,1052
693,693,990
694,694,997
695,695,992
696,696,1031
697,697,984
698,698,949
699,699,977
700,700,965
701,701,1016
702,702,1075
703,703,998
704,704,989
705,705,1010
706,706,993
707,707,1062
708,708,1005
709,709,1013
710,710,1026
711,711,952
712,712,988
713,713,930
714,714,977
715,715,971
716,716,999
717,717,1020
718,718,1004
719,719,972
720,720,993
721,721,1068
722,722,993
723,723,925
724,724,1004
725,725,996
726,726,989
727,727,975
728,728,973
729,729,1004
730,730,1025
731,731,1005
732,732,1054
733,733,1038
734,734,1007
735,735,982
736,736,1034
737,737,976
738,738,1019
739,739,980
740,740,1043
741,741,1002
742,742,1024
743,743,1016
744,744,961
745,745,1010
746,746,997
747,747,992
748,748,996
749,749,1065
750,750,988
751,751,1001
752,752,999
753,753,982
754,754,1025
755,755,1041
756,756,964
757,757,994
758,758,1021
759,759,1024
760,760,1016
761,761,991
762,762,963
763,763,1048
764,764,965
765,765,999
766,766,1009
767,767,997
768,768,1020
769,769,989
770,770,1021
771,771,1011
772,772,999
773,773,1043
774,774,991
775,775,1085
776,776,1002
777,777,979
778,778,986
779,779,1007
780,780,1004
781,781,1022
782,782,969
783,783,1011
784,784,1036
785,785,1042
786,786,996
787,787,981
788,788,1000
789,789,1054
790,790,955
791,791,1015
792,792,1014
793,793,1027
794,794,1029
795,795,1010
796,796,976
797,797,980
798,798,972
799,799,982
800,800,985
801,801,990
802,802,987
803,803,991
804,804,995
805,805,1036
806,806,1000
807,807,1018
808,808,1044
809,809,1018
810,810,999
811,811,987
812,812,1012
813,813,1007
814,814,984
815,815,1049
816,816,940
817,817,992
818,818,1088
819,819,967
820,820,985
821,821,994
822,822,969
823,823,1032
824,824,1042
825,825,1037
826,826,973
827,827,1021
828,828,1006
829,829,1024
830,830,989
831,831,1033
832,832,1055
833,833,1019
834,834,1013
835,835,1014
836,836,952
837,837,1017
838,838,1019
839,839,980
840,840,1031
841,841,991
842,842,989
843,843,971
844,844,1011
845,845,1039
846,846,991
847,847,976
848,848,1018
849,849,969
850,850,1010
851,851,1027
852,852,1044
853,853,983
854,854,1008
855,855,1017
856,856,993
857,857,1055
858,858,1014
859,859,1008
860,860,1052
861,861,1026
862,862,1019
863,863,983
864,864,1034
865,865,1006
866,866,1005
867,867,972
868,868,1000
869,869,1000
870,870,988
871,871,998
872,872,1014
873,873,1021
874,874,997
875,875,988
876,876,1037
877,877,1007
878,878,1026
879,879,980
880,880,957
881,881,969
882,882,982
883,883,976
884,884,1006
885,885,975
886,886,941
887,887,1016
888,888,928
889,889,1009
890,890,969
891,891,993
892,892,974
893,893,1015
894,894,1008
895,895,950
896,896,979
897,897,987
898,898,971
899,899,1020
900,900,1037
901,901,1018
902,902,969
903,903,971
904,904,1039
905,905,1008
906,906,1002
907,907,1025
908,908,1051
909,909,982
910,910,991
911,911,1025
912,912,988
913,913,1028
914,914,930
915,915,990
916,916,1053
917,917,950
918,918,1048
919,919,1017
920,920,1013
921,921,987
922,922,1005
923,923,1013
924,924,994
925,925,995
926,926,987
927,927,997
928,928,1046
929,929,1053
930,930,1033
931,931,1039
932,932,986
933,933,976
934,934,1013
935,935,983
936,936,1011
937,937,1024
938,938,947
939,939,972
940,940,1002
941,941,1021
942,942,997
943,943,967
944,944,1018
945,945,1000
946,946,1012
947,947,1002
948,948,984
949,949,1008
950,950,1005
951,951,977
952,952,1086
953,953,976
954,954,998
955,955,974
956,956,975
957,957,984
958,958,998
959,959,975
960,960,1038
961,961,1007
962,962,1024
963,963,1039
964,964,1038
965,965,966
966,966,1036
967,967,961
968,968,1014
969,969,1081
970,970,963
971,971,948
972,972,1005
973,973,989
974,974,1046
975,975,980
976,976,1012
977,977,962
978,978,1022
979,979,1004
980,980,1040
981,981,1057
982,982,990
983,983,1042
984,984,1051
985,985,1004
986,986,987
987,987,1005
988,988,957
989,989,1045
990,990,1005
991,991,998
992,992,1000
993,993,971
994,994,1000
995,995,959
996,996,1023
997,997,995
998,998,952
999,999,1036
